Elapsed Time[s]	Write 0 [A]	
5.0556	0.859	
5.0558	0.856	
5.0560	0.856	
5.0562	0.860	
5.0564	0.857	
5.0566	0.856	
5.0568	0.855	
5.0570	0.857	
5.0572	0.857	
5.0574	0.856	
5.0576	0.858	
5.0578	0.857	
5.0580	0.856	
5.0582	0.857	
5.0584	0.857	
5.0586	0.858	
5.0588	0.858	
5.0590	0.857	
5.0592	0.857	
5.0594	0.858	
5.0596	0.857	
5.0598	0.857	
5.0600	0.857	
5.0602	0.857	
5.0604	0.857	
5.0606	0.857	
5.0608	0.856	
5.0610	0.857	
5.0612	0.856	
5.0614	0.856	
5.0616	0.856	
5.0618	0.856	
5.0620	0.856	
5.0622	0.859	
5.0624	0.856	
5.0626	0.856	
5.0628	0.856	
5.0630	0.856	
5.0632	0.856	
5.0634	0.857	
5.0636	0.856	
5.0638	0.856	
5.0640	0.856	
5.0642	0.855	
5.0644	0.856	
5.0646	0.856	
5.0648	0.855	
5.0650	0.856	
5.0652	0.856	
5.0654	0.857	
5.0656	0.857	
5.0658	0.857	
5.0660	0.857	
5.0662	0.859	
5.0664	0.857	
5.0666	0.857	
5.0668	0.857	
5.0670	0.856	
5.0672	0.858	
5.0674	0.857	
5.0676	0.855	
5.0678	0.857	
5.0680	0.856	
5.0682	0.856	
5.0684	0.856	
5.0686	0.856	
5.0688	0.857	
5.0690	0.852	
5.0692	0.857	
5.0694	0.856	
5.0696	0.856	
5.0698	0.856	
5.0700	0.854	
5.0702	0.857	
5.0704	0.857	
5.0706	0.857	
5.0708	0.856	
5.0710	0.857	
5.0712	0.856	
5.0714	0.856	
5.0716	0.855	
5.0718	0.862	
5.0720	0.857	
5.0722	0.857	
5.0724	0.857	
5.0726	0.856	
5.0728	0.856	
5.0730	0.858	
5.0732	0.856	
5.0734	0.857	
5.0736	0.857	
5.0738	0.857	
5.0740	0.857	
5.0742	0.856	
5.0744	0.856	
5.0746	0.857	
5.0748	0.857	
5.0750	0.858	
5.0752	0.858	
5.0754	0.857	
5.0756	0.856	
5.0758	0.856	
5.0760	0.860	
5.0762	0.857	
5.0764	0.859	
5.0766	0.856	
5.0768	0.858	
5.0770	0.857	
5.0772	0.856	
5.0774	0.857	
5.0776	0.857	
5.0778	0.859	
5.0780	0.858	
5.0782	0.856	
5.0784	0.856	
5.0786	0.856	
5.0788	0.856	
5.0790	0.857	
5.0792	0.857	
5.0794	0.856	
5.0796	0.857	
5.0798	0.856	
5.0800	0.856	
5.0802	0.856	
5.0804	0.856	
5.0806	0.856	
5.0808	0.856	
5.0810	0.856	
5.0812	0.856	
5.0814	0.856	
5.0816	0.856	
5.0818	0.857	
5.0820	0.856	
5.0822	0.857	
5.0824	0.856	
5.0826	0.853	
5.0828	0.857	
5.0830	0.856	
5.0832	0.856	
5.0834	0.856	
5.0836	0.855	
5.0838	0.855	
5.0840	0.857	
5.0842	0.856	
5.0844	0.856	
5.0846	0.859	
5.0848	0.856	
5.0850	0.855	
5.0852	0.856	
5.0854	0.856	
5.0856	0.856	
5.0858	0.856	
5.0860	0.857	
5.0862	0.856	
5.0864	0.855	
5.0866	0.855	
5.0868	0.859	
5.0870	0.857	
5.0872	0.856	
5.0874	0.854	
5.0876	0.856	
5.0878	0.856	
5.0880	0.861	
5.0882	0.857	
5.0884	0.856	
5.0886	0.856	
5.0888	0.856	
5.0890	0.857	
5.0892	0.857	
5.0894	0.856	
5.0896	0.856	
5.0898	0.856	
5.0900	0.856	
5.0902	0.857	
5.0904	0.857	
5.0906	0.857	
5.0908	0.856	
5.0910	0.856	
5.0912	0.857	
5.0914	0.857	
5.0916	0.857	
5.0918	0.857	
5.0920	0.854	
5.0922	0.857	
5.0924	0.857	
5.0926	0.856	
5.0928	0.857	
5.0930	0.857	
5.0932	0.858	
5.0934	0.857	
5.0936	0.856	
5.0938	0.856	
5.0940	0.857	
5.0942	0.858	
5.0944	0.857	
5.0946	0.857	
5.0948	0.856	
5.0950	0.857	
5.0952	0.858	
5.0954	0.857	
5.0956	0.857	
5.0958	0.856	
5.0960	0.861	
5.0962	0.856	
5.0964	0.854	
5.0966	0.857	
5.0968	0.856	
5.0970	0.856	
5.0972	0.857	
5.0974	0.860	
5.0976	0.856	
5.0978	0.857	
5.0980	0.857	
5.0982	0.857	
5.0984	0.858	
5.0986	0.856	
5.0988	0.856	
5.0990	0.856	
5.0992	0.856	
5.0994	0.856	
5.0996	0.855	
5.0998	0.856	
5.1000	0.855	
5.1002	0.856	
5.1004	0.856	
5.1006	0.856	
5.1008	0.856	
5.1010	0.858	
5.1012	0.855	
5.1014	0.856	
5.1016	0.856	
5.1018	0.856	
5.1020	0.855	
5.1022	0.856	
5.1024	0.856	
5.1026	0.861	
5.1028	0.856	
5.1030	0.855	
5.1032	0.853	
5.1034	0.853	
5.1036	0.859	
5.1038	0.856	
5.1040	0.857	
5.1042	0.856	
5.1044	0.856	
5.1046	0.855	
5.1048	0.856	
5.1050	0.857	
5.1052	0.855	
5.1054	0.856	
5.1056	0.857	
5.1058	0.856	
5.1060	0.855	
5.1062	0.854	
5.1064	0.856	
5.1066	0.855	
5.1068	0.857	
5.1070	0.855	
5.1072	0.856	
5.1074	0.856	
5.1076	0.857	
5.1078	0.858	
5.1080	0.857	
5.1082	0.854	
5.1084	0.856	
5.1086	0.858	
5.1088	0.857	
5.1090	0.853	
5.1092	0.860	
5.1094	0.857	
5.1096	0.856	
5.1098	0.856	
5.1100	0.856	
5.1102	0.857	
5.1104	0.857	
5.1106	0.858	
5.1108	0.856	
5.1110	0.856	
5.1112	0.857	
5.1114	0.857	
5.1116	0.856	
5.1118	0.852	
5.1120	0.855	
5.1122	0.858	
5.1124	0.858	
5.1126	0.857	
5.1128	0.857	
5.1130	0.857	
5.1132	0.857	
5.1134	0.856	
5.1136	0.858	
5.1138	0.857	
5.1140	0.855	
5.1142	0.856	
5.1144	0.857	
5.1146	0.857	
5.1148	0.857	
5.1150	0.857	
5.1152	0.857	
5.1154	0.856	
5.1156	0.857	
5.1158	0.856	
5.1160	0.855	
5.1162	0.856	
5.1164	0.856	
5.1166	0.856	
5.1168	0.857	
5.1170	0.856	
5.1172	0.857	
5.1174	0.855	
5.1176	0.856	
5.1178	0.855	
5.1180	0.858	
5.1182	0.856	
5.1184	0.857	
5.1186	0.856	
5.1188	0.857	
5.1190	0.857	
5.1192	0.857	
5.1194	0.855	
5.1196	0.857	
5.1198	0.857	
5.1200	0.856	
5.1202	0.856	
5.1204	0.855	
5.1206	0.856	
5.1208	0.856	
5.1210	0.856	
5.1212	0.856	
5.1214	0.856	
5.1216	0.856	
5.1218	0.855	
5.1220	0.855	
5.1222	0.855	
5.1224	0.856	
5.1226	0.857	
5.1228	0.855	
5.1230	0.857	
5.1232	0.855	
5.1234	0.855	
5.1236	0.859	
5.1238	0.856	
5.1240	0.856	
5.1242	0.860	
5.1244	0.856	
5.1246	0.856	
5.1248	0.855	
5.1250	0.856	
5.1252	0.857	
5.1254	0.856	
5.1256	0.855	
5.1258	0.855	
5.1260	0.855	
5.1262	0.856	
5.1264	0.855	
5.1266	0.857	
5.1268	0.856	
5.1270	0.856	
5.1272	0.856	
5.1274	0.857	
5.1276	0.858	
5.1278	0.856	
5.1280	0.857	
5.1282	0.857	
5.1284	0.855	
5.1286	0.857	
5.1288	0.856	
5.1290	0.856	
5.1292	0.853	
5.1294	0.857	
5.1296	0.858	
5.1298	0.859	
5.1300	0.852	
5.1302	0.859	
5.1304	0.857	
5.1306	0.856	
5.1308	0.860	
5.1310	0.856	
5.1312	0.856	
5.1314	0.857	
5.1316	0.856	
5.1318	0.857	
5.1320	0.857	
5.1322	0.856	
5.1324	0.857	
5.1326	0.857	
5.1328	0.856	
5.1330	0.857	
5.1332	0.855	
5.1334	0.856	
5.1336	0.857	
5.1338	0.856	
5.1340	0.856	
5.1342	0.857	
5.1344	0.856	
5.1346	0.856	
5.1348	0.856	
5.1350	0.858	
5.1352	0.856	
5.1354	0.855	
5.1356	0.856	
5.1358	0.856	
5.1360	0.854	
5.1362	0.856	
5.1364	0.856	
5.1366	0.858	
5.1368	0.856	
5.1370	0.856	
5.1372	0.859	
5.1374	0.857	
5.1376	0.856	
5.1378	0.857	
5.1380	0.858	
5.1382	0.857	
5.1384	0.853	
5.1386	0.856	
5.1388	0.857	
5.1390	0.856	
5.1392	0.856	
5.1394	0.856	
5.1396	0.856	
5.1398	0.857	
5.1400	0.856	
5.1402	0.856	
5.1404	0.856	
5.1406	0.856	
5.1408	0.857	
5.1410	0.856	
5.1412	0.861	
5.1414	0.856	
5.1416	0.856	
5.1418	0.856	
5.1420	0.855	
5.1422	0.855	
5.1424	0.852	
5.1426	0.856	
5.1428	0.857	
5.1430	0.855	
5.1432	0.856	
5.1434	0.855	
5.1436	0.856	
5.1438	0.858	
5.1440	0.856	
5.1442	0.856	
5.1444	0.856	
5.1446	0.855	
5.1448	0.857	
5.1450	0.855	
5.1452	0.857	
5.1454	0.854	
5.1456	0.855	
5.1458	0.855	
5.1460	0.856	
5.1462	0.856	
5.1464	0.856	
5.1466	0.857	
5.1468	0.855	
5.1470	0.854	
5.1472	0.852	
5.1474	0.856	
5.1476	0.855	
5.1478	0.856	
5.1480	0.855	
5.1482	0.856	
5.1484	0.857	
5.1486	0.853	
5.1488	0.855	
5.1490	0.856	
5.1492	0.856	
5.1494	0.856	
5.1496	0.856	
5.1498	0.856	
5.1500	0.856	
5.1502	0.855	
5.1504	0.856	
5.1506	0.857	
5.1508	0.856	
5.1510	0.856	
5.1512	0.856	
5.1514	0.856	
5.1516	0.857	
5.1518	0.854	
5.1520	0.861	
5.1522	0.857	
5.1524	0.857	
5.1526	0.856	
5.1528	0.859	
5.1530	0.854	
5.1532	0.857	
5.1534	0.856	
5.1536	0.857	
5.1538	0.857	
5.1540	0.856	
5.1542	0.856	
5.1544	0.856	
5.1546	0.858	
5.1548	0.857	
5.1550	0.856	
5.1552	0.855	
5.1554	0.857	
5.1556	0.856	
5.1558	0.857	
5.1560	0.856	
5.1562	0.854	
5.1564	0.856	
5.1566	0.856	
5.1568	0.860	
5.1570	0.861	
5.1572	0.856	
5.1574	0.856	
5.1576	0.860	
5.1578	0.856	
5.1580	0.853	
5.1582	0.855	
5.1584	0.855	
5.1586	0.858	
5.1588	0.855	
5.1590	0.856	
5.1592	0.856	
5.1594	0.856	
5.1596	0.857	
5.1598	0.856	
5.1600	0.857	
5.1602	0.856	
5.1604	0.856	
5.1606	0.857	
5.1608	0.856	
5.1610	0.856	
5.1612	0.856	
5.1614	0.856	
5.1616	0.856	
5.1618	0.856	
5.1620	0.855	
5.1622	0.857	
5.1624	0.856	
5.1626	0.855	
5.1628	0.856	
5.1630	0.854	
5.1632	0.855	
5.1634	0.857	
5.1636	0.856	
5.1638	0.855	
5.1640	0.855	
5.1642	0.855	
5.1644	0.856	
5.1646	0.856	
5.1648	0.852	
5.1650	0.856	
5.1652	0.856	
5.1654	0.859	
5.1656	0.856	
5.1658	0.857	
5.1660	0.853	
5.1662	0.854	
5.1664	0.857	
5.1666	0.856	
5.1668	0.854	
5.1670	0.856	
5.1672	0.855	
5.1674	0.857	
5.1676	0.857	
5.1678	0.856	
5.1680	0.856	
5.1682	0.857	
5.1684	0.856	
5.1686	0.858	
5.1688	0.861	
5.1690	0.856	
5.1692	0.856	
5.1694	0.856	
5.1696	0.856	
5.1698	0.853	
5.1700	0.854	
5.1702	0.856	
5.1704	0.856	
5.1706	0.860	
5.1708	0.856	
5.1710	0.856	
5.1712	0.856	
5.1714	0.856	
5.1716	0.856	
5.1718	0.856	
5.1720	0.857	
5.1722	0.856	
5.1724	0.857	
5.1726	0.857	
5.1728	0.857	
5.1730	0.856	
5.1732	0.856	
5.1734	0.858	
5.1736	0.856	
5.1738	0.857	
5.1740	0.856	
5.1742	0.856	
5.1744	0.860	
5.1746	0.856	
5.1748	0.857	
5.1750	0.855	
5.1752	0.853	
5.1754	0.858	
5.1756	0.856	
5.1758	0.858	
5.1760	0.856	
5.1762	0.856	
5.1764	0.857	
5.1766	0.858	
5.1768	0.855	
5.1770	0.856	
5.1772	0.858	
5.1774	0.860	
5.1776	0.856	
5.1778	0.856	
5.1780	0.856	
5.1782	0.856	
5.1784	0.855	
5.1786	0.856	
5.1788	0.856	
5.1790	0.855	
5.1792	0.856	
5.1794	0.853	
5.1796	0.856	
5.1798	0.856	
5.1800	0.856	
5.1802	0.856	
5.1804	0.856	
5.1806	0.856	
5.1808	0.856	
5.1810	0.856	
5.1812	0.856	
5.1814	0.856	
5.1816	0.856	
5.1818	0.855	
5.1820	0.856	
5.1822	0.856	
5.1824	0.856	
5.1826	0.857	
5.1828	0.857	
5.1830	0.856	
5.1832	0.856	
5.1834	0.855	
5.1836	0.857	
5.1838	0.856	
5.1840	0.857	
5.1842	0.855	
5.1844	0.856	
5.1846	0.855	
5.1848	0.856	
5.1850	0.856	
5.1852	0.852	
5.1854	0.856	
5.1856	0.855	
5.1858	0.856	
5.1860	0.857	
5.1862	0.855	
5.1864	0.860	
5.1866	0.855	
5.1868	0.855	
5.1870	0.858	
5.1872	0.855	
5.1874	0.856	
5.1876	0.852	
5.1878	0.857	
5.1880	0.857	
5.1882	0.856	
5.1884	0.855	
5.1886	0.856	
5.1888	0.856	
5.1890	0.860	
5.1892	0.856	
5.1894	0.856	
5.1896	0.856	
5.1898	0.856	
5.1900	0.852	
5.1902	0.856	
5.1904	0.856	
5.1906	0.858	
5.1908	0.856	
5.1910	0.856	
5.1912	0.853	
5.1914	0.856	
5.1916	0.856	
5.1918	0.851	
5.1920	0.855	
5.1922	0.855	
5.1924	0.857	
5.1926	0.857	
5.1928	0.856	
5.1930	0.856	
5.1932	0.857	
5.1934	0.857	
5.1936	0.856	
