Elapsed Time[s]	Write 0 [A]	
2.5838	0.843	
2.5840	0.842	
2.5842	0.844	
2.5844	0.840	
2.5846	0.843	
2.5848	0.842	
2.5850	0.842	
2.5852	0.842	
2.5854	0.844	
2.5856	0.842	
2.5858	0.841	
2.5860	0.843	
2.5862	0.843	
2.5864	0.843	
2.5866	0.841	
2.5868	0.844	
2.5870	0.843	
2.5872	0.843	
2.5874	0.843	
2.5876	0.843	
2.5878	0.843	
2.5880	0.843	
2.5882	0.843	
2.5884	0.843	
2.5886	0.843	
2.5888	0.843	
2.5890	0.843	
2.5892	0.843	
2.5894	0.843	
2.5896	0.843	
2.5898	0.843	
2.5900	0.843	
2.5902	0.843	
2.5904	0.842	
2.5906	0.843	
2.5908	0.842	
2.5910	0.843	
2.5912	0.842	
2.5914	0.842	
2.5916	0.844	
2.5918	0.842	
2.5920	0.843	
2.5922	0.843	
2.5924	0.843	
2.5926	0.843	
2.5928	0.842	
2.5930	0.843	
2.5932	0.843	
2.5934	0.841	
2.5936	0.842	
2.5938	0.844	
2.5940	0.843	
2.5942	0.842	
2.5944	0.842	
2.5946	0.843	
2.5948	0.844	
2.5950	0.843	
2.5952	0.843	
2.5954	0.844	
2.5956	0.844	
2.5958	0.842	
2.5960	0.842	
2.5962	0.843	
2.5964	0.843	
2.5966	0.842	
2.5968	0.843	
2.5970	0.843	
2.5972	0.845	
2.5974	0.843	
2.5976	0.843	
2.5978	0.843	
2.5980	0.843	
2.5982	0.843	
2.5984	0.843	
2.5986	0.843	
2.5988	0.843	
2.5990	0.843	
2.5992	0.843	
2.5994	0.843	
2.5996	0.844	
2.5998	0.844	
2.6000	0.843	
2.6002	0.844	
2.6004	0.843	
2.6006	0.841	
2.6008	0.843	
2.6010	0.844	
2.6012	0.843	
2.6014	0.843	
2.6016	0.843	
2.6018	0.843	
2.6020	0.843	
2.6022	0.843	
2.6024	0.843	
2.6026	0.843	
2.6028	0.843	
2.6030	0.843	
2.6032	0.842	
2.6034	0.843	
2.6036	0.842	
2.6038	0.841	
2.6040	0.843	
2.6042	0.844	
2.6044	0.844	
2.6046	0.842	
2.6048	0.843	
2.6050	0.843	
2.6052	0.843	
2.6054	0.843	
2.6056	0.845	
2.6058	0.843	
2.6060	0.843	
2.6062	0.844	
2.6064	0.843	
2.6066	0.842	
2.6068	0.843	
2.6070	0.844	
2.6072	0.843	
2.6074	0.843	
2.6076	0.843	
2.6078	0.843	
2.6080	0.843	
2.6082	0.841	
2.6084	0.843	
2.6086	0.843	
2.6088	0.843	
2.6090	0.843	
2.6092	0.843	
2.6094	0.842	
2.6096	0.842	
2.6098	0.842	
2.6100	0.843	
2.6102	0.842	
2.6104	0.842	
2.6106	0.842	
2.6108	0.842	
2.6110	0.841	
2.6112	0.842	
2.6114	0.842	
2.6116	0.842	
2.6118	0.842	
2.6120	0.842	
2.6122	0.843	
2.6124	0.842	
2.6126	0.842	
2.6128	0.842	
2.6130	0.842	
2.6132	0.842	
2.6134	0.844	
2.6136	0.843	
2.6138	0.844	
2.6140	0.843	
2.6142	0.843	
2.6144	0.843	
2.6146	0.842	
2.6148	0.843	
2.6150	0.843	
2.6152	0.843	
2.6154	0.843	
2.6156	0.841	
2.6158	0.844	
2.6160	0.843	
2.6162	0.844	
2.6164	0.844	
2.6166	0.843	
2.6168	0.843	
2.6170	0.843	
2.6172	0.843	
2.6174	0.844	
2.6176	0.843	
2.6178	0.842	
2.6180	0.842	
2.6182	0.843	
2.6184	0.843	
2.6186	0.844	
2.6188	0.843	
2.6190	0.843	
2.6192	0.843	
2.6194	0.843	
2.6196	0.843	
2.6198	0.844	
2.6200	0.843	
2.6202	0.845	
2.6204	0.843	
2.6206	0.843	
2.6208	0.843	
2.6210	0.844	
2.6212	0.844	
2.6214	0.843	
2.6216	0.843	
2.6218	0.843	
2.6220	0.843	
2.6222	0.843	
2.6224	0.844	
2.6226	0.843	
2.6228	0.843	
2.6230	0.843	
2.6232	0.843	
2.6234	0.842	
2.6236	0.843	
2.6238	0.843	
2.6240	0.842	
2.6242	0.841	
2.6244	0.842	
2.6246	0.843	
2.6248	0.842	
2.6250	0.843	
2.6252	0.843	
2.6254	0.842	
2.6256	0.843	
2.6258	0.840	
2.6260	0.842	
2.6262	0.842	
2.6264	0.842	
2.6266	0.842	
2.6268	0.841	
2.6270	0.843	
2.6272	0.843	
2.6274	0.842	
2.6276	0.842	
2.6278	0.843	
2.6280	0.842	
2.6282	0.842	
2.6284	0.840	
2.6286	0.842	
2.6288	0.842	
2.6290	0.842	
2.6292	0.842	
2.6294	0.844	
2.6296	0.842	
2.6298	0.841	
2.6300	0.841	
2.6302	0.842	
2.6304	0.841	
2.6306	0.842	
2.6308	0.842	
2.6310	0.842	
2.6312	0.842	
2.6314	0.842	
2.6316	0.842	
2.6318	0.842	
2.6320	0.842	
2.6322	0.842	
2.6324	0.842	
2.6326	0.844	
2.6328	0.842	
2.6330	0.843	
2.6332	0.842	
2.6334	0.843	
2.6336	0.843	
2.6338	0.842	
2.6340	0.842	
2.6342	0.843	
2.6344	0.844	
2.6346	0.842	
2.6348	0.843	
2.6350	0.842	
2.6352	0.842	
2.6354	0.843	
2.6356	0.844	
2.6358	0.841	
2.6360	0.843	
2.6362	0.843	
2.6364	0.843	
2.6366	0.843	
2.6368	0.842	
2.6370	0.844	
2.6372	0.844	
2.6374	0.842	
2.6376	0.842	
2.6378	0.842	
